Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 1 quality,Step 2 quality,Step 3 quality,Step 4 quality,Step 5 quality,Step 6 quality,Wafer quality,Yield
1,1,1,1,1,1,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.7894663290611366,0.9963692224237142,0.540891865229384
1,1,1,1,1,2,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.9666666501448268,0.9936229589403374,0.6604727251770613
1,1,1,1,1,3,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.9016619929915202,0.9901457454949102,0.6139025303227515
1,1,1,1,1,4,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.9260047095547193,0.9954198489095808,0.6338347212144707
1,1,1,1,1,5,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.967006937201934,0.993181554811158,0.6604117157736537
1,1,1,1,1,6,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.8894663290611365,0.991449903471665,0.6063966890142981
1,1,1,1,1,7,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9670600351894292,0.9524580948553968,0.9954889194727958,0.6519868577580469
1,1,1,1,2,1,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.7894663290611366,0.9918748127314064,0.4679562697697042
1,1,1,1,2,2,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.9666666501448268,0.9939898147621592,0.5742135894493979
1,1,1,1,2,3,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.9016619929915202,0.9924003820650408,0.5347434611866586
1,1,1,1,2,4,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.9260047095547193,0.990366548527736,0.548054760702639
1,1,1,1,2,5,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.967006937201934,0.9956854475715896,0.5753956122027959
1,1,1,1,2,6,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.8894663290611365,0.9992276479905464,0.5311396841025601
1,1,1,1,2,7,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8404496452569569,0.9524580948553968,0.9917905510581496,0.5645216989759846
1,1,1,1,3,1,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.7894663290611366,0.9970307766826816,0.46724945320532774
1,1,1,1,3,2,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.9666666501448268,0.99720012795057,0.572223496459297
1,1,1,1,3,3,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.9016619929915202,0.9903106401861008,0.5300560968555736
1,1,1,1,3,4,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.9260047095547193,0.9958282530683876,0.5473993337835551
1,1,1,1,3,5,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.967006937201934,0.9969767759552124,0.5722967199781199
1,1,1,1,3,6,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.8894663290611365,0.999098534678152,0.5275267171381588
1,1,1,1,3,7,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8348405341115838,0.9524580948553968,0.9996669799321308,0.5652074136289423
1,1,1,1,4,1,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.7894663290611366,0.9983572953186006,0.498688627634394
1,1,1,1,4,2,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.9666666501448268,0.9995112136961256,0.6113279655973608
1,1,1,1,4,3,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.9016619929915202,0.9950632552925704,0.5676809356379289
1,1,1,1,4,4,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.9260047095547193,0.991944983817303,0.5811799693285248
1,1,1,1,4,5,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.967006937201934,0.9906964475381882,0.6061499197919152
1,1,1,1,4,6,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.8894663290611365,0.999257956703978,0.5623633173535117
1,1,1,1,4,7,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.8898294159377663,0.9524580948553968,0.9939132648089258,0.5989688273281255
1,1,1,1,5,1,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9339589561227222,0.7894663290611366,0.994081707283582,0.521178610079115
1,1,1,1,5,2,0.8815374056160572,0.8607824610681531,0.9553550915449917,0.9808534434463456,0.9339589561227222,0.9666666501448268,0.9917090505070678,0.636637038661524
